date,id,activity,circumplex.arousal,circumplex.valence,mood,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,screen,sms
2014-01-03,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,1.0
2014-01-04,AS14.01,0.118443242712736,0.2,0.0,6.0,1159.576,5496.115,278.69,347.911,234.741,3.159,72.999,3902.658,398.849,,420.569,0.0,1.0,6148.191001415253,0.0
2014-01-05,AS14.01,0.03706526814765703,-0.4,1.0,8.0,1030.266,6488.361,55.116,386.04200000000003,0.0,0.0,44.43,1439.262,0.0,,269.56899999999996,0.0,7.0,7595.1499989032745,4.0
2014-01-06,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-07,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-08,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-09,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-10,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-11,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-12,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-13,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-14,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-15,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-16,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-17,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-18,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-19,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-20,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-21,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
2014-01-22,AS14.01,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
