variable,n_removed,pct_removed,before_min,after_min,before_max,after_max,before_mean,after_mean,before_std,after_std
activity,0,0.0,0.0,0.0,1.0,1.0,0.116,0.116,0.1869,0.1869
appCat.builtin,5961,6.53,-82798.871,0.001,33960.246,33.627,18.5383,6.3206,415.9892,6.6601
appCat.communication,3119,4.2,0.006,0.006,9830.777,166.247,43.3438,28.6117,128.9128,33.1394
appCat.entertainment,3747,13.81,-0.011,0.001,32148.677,55.559,37.5765,6.613,262.9605,9.7326
appCat.finance,69,7.35,0.131,0.131,355.513,68.332,21.7553,12.7232,39.2184,13.8358
appCat.game,51,6.27,1.003,1.003,5491.793,445.963,128.3916,73.2839,327.1452,89.9352
appCat.office,639,11.33,0.003,0.003,32708.818,26.142,22.5789,4.6897,449.6014,4.7916
appCat.other,656,8.58,0.014,0.014,3892.038,46.077,25.8108,11.5751,112.7814,8.7475
appCat.social,919,4.8,0.094,0.094,30000.906,274.202,72.4019,47.4274,261.5518,55.9178
appCat.travel,74,2.6,0.08,0.08,10452.615,171.46,45.7308,30.2365,246.1093,33.3939
appCat.unknown,45,4.79,0.111,0.111,2239.937,157.287,45.553,26.7552,119.4004,31.0827
appCat.utilities,81,3.26,0.246,0.246,1802.649,67.83,18.5376,12.3701,60.9591,12.951
appCat.weather,2,0.78,1.003,1.003,344.863,68.253,20.1487,18.6023,24.9434,13.7383
call,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
circumplex.arousal,0,0.0,-2.0,-2.0,2.0,2.0,-0.0986,-0.0986,1.0519,1.0519
circumplex.valence,0,0.0,-2.0,-2.0,2.0,2.0,0.6878,0.6878,0.6713,0.6713
mood,0,0.0,1.0,1.0,10.0,10.0,6.9926,6.9926,1.0328,1.0328
screen,5957,6.17,0.035,0.035,9867.007,234.176,75.3352,36.8959,253.8225,46.2359
sms,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
